,s2orc_id,sulfate,sodium,potassium,chloride,carbonate,magnesium,calcium,copper,iron,zinc,cadmium,arsenic,lithium,boron,manganese,phosphate,ammonium,nitrite,nitrate,sulfide,methane,ethane,propane,butane,pentane,acetate,formate,pahs,argon,carbon_dioxyde,nitrogen,hydrogen,helium
38,22414992,-,-,-,-,['carbonate (10)'],-,-,['copper (1)'],-,-,-,-,-,-,-,-,-,-,-,-,['methane (11)'],-,-,-,-,['acetate (1)'],-,-,-,-,-,['hydrogen (1)'],['helium (2)']
39,24389953,"['sulfate (4)', 'Sulfate (1)']",-,-,['chloride (4)'],['carbonate (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['methane (22)', 'Methane (3)']",['ethane (1)'],-,-,-,"['acetate (6)', 'Acetate (1)']",-,-,-,-,['nitrogen (1)'],['hydrogen (1)'],['Helium (1)']
40,26654892,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['phosphate (1)'],-,['nitrite (1)'],['Nitrate (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,31592443,['sulfate (1)'],-,['potassium (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['methane (1)', 'Methane (1)']",-,-,-,-,['acetate (1)'],-,-,-,-,-,-,['Helium (1)']
42,34107345,-,-,-,-,-,-,-,['copper (1)'],-,['zinc (1)'],['cadmium (1)'],['arsenic (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,35116371,-,['sodium (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,['phosphate (2)'],-,-,['nitrate (1)'],-,-,-,-,-,-,-,-,-,-,-,-,['hydrogen (1)'],-
44,38728909,-,['sodium (2)'],-,-,-,-,-,-,-,-,-,-,-,-,-,['phosphate (2)'],-,-,"['nitrate (1)', 'Nitrate (1)']",-,['methane (1)'],-,-,-,-,-,-,-,-,-,-,['hydrogen (1)'],-
45,42717529,-,-,-,-,-,-,-,['copper (1)'],-,-,-,['arsenic (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,46855510,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['CO2 (7)'],-,-,-
47,49214293,['sulfate (5)'],-,-,-,['carbonate (1)'],-,-,-,-,-,-,-,['lithium (1)'],-,-,-,-,-,-,-,"['methane (47)', 'CH4 (31)']",['ethane (5)'],['propane (2)'],-,-,['acetate (25)'],['formate (1)'],-,"['AR (4)', 'Ar (1)']",['CO2 (3)'],-,"['hydrogen (6)', 'Hydrogen (1)']",-
