,s2orc_id,sulfate,sodium,potassium,chloride,carbonate,magnesium,calcium,copper,iron,zinc,cadmium,arsenic,lithium,boron,manganese,phosphate,ammonium,nitrite,nitrate,sulfide,methane,ethane,propane,butane,pentane,acetate,formate,pahs,argon,carbon_dioxyde,nitrogen,hydrogen,helium
47,19304315,['sulfate (3)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['sulfide (1)'],"['methane (5)', 'Methane (1)']",-,-,-,-,-,-,-,-,-,-,-,-
48,19394643,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['Methane (2)', 'methane (5)']",-,-,-,-,-,-,-,-,-,-,-,-
49,19646536,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['CO2 (10)'],-,-,-
50,20023799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (5)'],-,-,-,-,-,-,-,-,-,['N2 (1)'],-,-
51,20382895,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,20561520,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,20646286,['sulfate (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['sulfide (1)'],['methane (2)'],-,-,-,-,-,-,-,-,-,-,-,-
54,20677516,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,21490211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (2)'],-,-,-,-,-,-,-,-,-,-,-,-
56,21653548,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,22078593,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (1)'],-,-,-,-,-,-,-,-,-,-,-,-
58,22414992,-,-,-,-,['carbonate (2)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,23169780,['sulfate (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (1)'],-,-,-,-,-,-,-,-,-,-,-,-
60,23583751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,24236881,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['methane (6)', 'Methane (1)']",-,-,-,-,-,-,-,-,-,-,-,-
62,24389953,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (3)'],-,-,-,-,-,-,-,-,-,-,-,-
63,24825330,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (1)'],-,-,-,-,-,-,-,-,-,-,-,-
64,24860900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['Nitrate (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,24969095,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,25275226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,25312939,['sulfate (1)'],-,-,-,-,-,-,-,['iron (1)'],-,-,"['arsenic (2)', 'Arsenic (3)']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,25374479,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['acetate (1)'],['formate (1)'],-,-,-,-,-,-
69,25614269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,25787557,['sulfate (3)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (4)'],-,-,-,-,-,-,-,-,-,-,-,-
71,26654892,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
